titles,content
绷紧战“疫”弦 训练不松劲,"    10日上午，闽将葛曼棋和往常一样走进田径馆，在体温检测正常后有条不紊地开始准备一天的训练。
    由于训练时不戴口罩，田径馆里比往日少了休息时的欢声笑语，只听见跑鞋与塑胶跑道接触时坚定而踏实的声音，偶尔夹杂着几声教练员的喊声。
    去年的冬训结束后，葛曼棋从室内赛季开始大爆发，在60米比赛中频频刷新个人最好成绩，尤其是在浙江杭州举行的全国室内田径锦标赛总决赛上，葛曼棋在女子60米决赛中，跑出了7秒10的优异成绩，打破了广西名将韦永丽在2016年创造的7秒17的全国纪录。此后，葛曼棋在室外赛季中继续有高光表现，在女子100米中跑出11秒04的个人历史最好成绩，远超东京奥运会11秒15的及格线。
    由于受新冠肺炎疫情影响，原计划今年二三月在国内举行的100多项赛事被取消、推迟或易地举行。这其中就包括葛曼棋原本准备参加的一系列室内赛事。
    对于葛曼棋来说，奔跑就是她的本职工作，战“疫”同样是当下的重点，要想在东京奥运会上不掉队，成绩和身体都不容有半点闪失。“本来赛事就是检验冬训成果的一个重要指标，这对运动员的训练和备战的确有一定的影响。目前，我们能做的就是战‘疫’、训练都不松劲。毕竟，东京奥运会已经迫在眉睫，陕西全运会的备战同样刻不容缓。”省田自中心主任王海飞表示。
    和葛曼棋一样，今年省田径队共有165名运动员、教练员和工作人员放弃休假，留在福州备战。疫情突如其来，如何让所有人都安心训练是王海飞想得最多的问题，“疫情发生后，中心按照省体育局共克时艰，齐心协力打赢疫情防控阻击战的要求，多次采购口罩近1500只发放给中心运动队和行政后勤人员，加强防护。及时购买消杀产品用具，对中心室内外田径馆（场）、办公区域、运动员宿舍进行消毒工作，确保万无一失。同时，通过中心LED屏、微信群等，多渠道、全覆盖开展疫情防控知识科普，让所有人时刻紧绷一根弦”。
    对在榕运动队，王海飞表示，始终采取封闭式管理，要求运动员“训练场、食堂、宿舍”三点一线，严禁外出及家长到访。同时，要求在北京、武夷山等地外训的运动队做好防护工作，请假未回队员原地待命，做好自我隔离工作。
    做好防疫工作是圆满完成训练任务的重中之重，而如何检验训练成果同样也是一个难题。王海飞表示，中心将于月底举行内部专项测试，包括100米、200米、跳远、三级跳远等11个项目，检验队伍训练成果。
    “由于队伍都是封闭训练，训练方面没有受疫情太大干扰。所有人都平安，没有受到感染，一切都在按计划进行。我们现在主要是争取把不利因素降到最低，然后踏踏实实搞好备战，积极应对各种不可测的因素，把接下来的比赛比好。”王海飞说。"
让体育激发更多正能量,    “我们是谁？”“中国女篮！”    “为了谁？”“祖国！”    体育往往可以激发更多的正能量，尤其是一场振奋人心的胜利。    9日晚，中国女篮砍下100分，以100∶60击败老对手韩国女篮，最终以连克英国、西班牙、韩国女篮的三连胜成绩，顺利取得东京奥运会参赛资格。    事实上，早在8日两分险胜西班牙队之后，中国女篮就已经提前晋级奥运。对于中国女篮，或者说中国篮球，以及对抗疫情的中国球迷来说，太需要这样一场胜利了。而女篮姑娘们也着实为国人提了一把气，为阴霾下的中国体育，照进了一道光。    西班牙女篮一直是世界篮坛的顶尖强队，尤其最近几年，西班牙队先后获得2016年奥运会亚军、2018年女篮世界杯季军、2019年女篮欧洲杯冠军，最新的世界排名高居第3位。    “当需要一个人站出来时，那叫勇敢；当一个团队挺身而出时，那叫担当；当一个国家身处逆境、呼唤一种精神时，那就是使命，就是信念，就是一往无前！今天不仅仅是一场比赛，这是一场跨越时空的能量传递。我们要打出中国女篮的精气神，敢打硬仗，遇强则更强！”这是迎战英国女篮之前，中国女篮心理教练黄菁为队员们加油鼓劲时说的一番话。    的确，在这个春天，中国女篮背负着巨大的无形的压力，还有万千的期待。受新冠肺炎疫情影响，原本拥有主场优势的她们被迫移师中立场地塞尔维亚贝尔格莱德比赛。中国女篮能提前拿到这张奥运会入场券实属不易。    体育的力量还不止于此。几天前，在澳大利亚征战奥运预选赛的中国女足也以6∶1击败泰国，克服了隔离的障碍持续向奥运迈进，而在四大洲花样滑冰锦标赛中，隋文静/韩聪夺冠之后，也与全场一起高喊：“中国加油，武汉加油！”    每一个春天都孕育希望。这一次，让体育绽放出希望的力量，给我们更多勇气来面对疫情这个拦路虎。在体育赛事全面停摆的今天，同样期待有更多捷报从国际赛场上传来，带给我们更多的力量。
中国女足晋级附加赛,    据新华社悉尼2月10日电 中国女足10日在东京奥运会女足预选赛亚洲区B组赛事中，以5比0击败中国台北队，在迎来两连胜的同时，提前一轮确保小组出线并晋级附加赛。两连胜后，中国队暂时在B组以6分领跑，已锁定小组赛之后下一阶段的一个附加赛席位。暂时积3分的澳大利亚队将在10日晚对阵泰国队。13日，中国队将与澳大利亚队进行本组最后一场较量，以争夺小组头名。
两连胜晋级附加赛,"　　2月10日，中国队球员王珊珊（前右）在比赛中带球突破。　　当日，在澳大利亚悉尼进行的东京奥运会女足预选赛中，中国队以5比0战胜中国台北队。 新华社发
　　中国女足10日在东京奥运会女足预选赛亚洲区B组赛事中，以5∶0击败中国台北队，在迎来两连胜的同时，提前一轮确保小组出线并晋级附加赛。　　唐佳丽的头球、吴海燕的抽射、王珊珊的两度建功和李影的单刀破门，帮助中国队在半场结束前以5∶0领先，奠定胜局。　　两连胜后，中国队暂时在B组以6分领跑，已锁定小组赛之后下一阶段的一个附加赛席位。暂时积3分的澳大利亚队将在10日晚对阵泰国队。13日，中国队将与澳大利亚队进行本组最后一场较量，以争夺小组头名。　　主帅贾秀全此役延续了首场6∶1大胜泰国队时的442首发阵型：门将彭诗梦，队长吴海燕与林宇萍搭档中卫，罗桂平和翟晴苇镇守两翼，马君和姚凌薇组成双后腰，张馨和李影打边前卫，王珊珊与唐佳丽搭档锋线。　　开场第5分钟，罗桂平右路下底传中，唐佳丽门前近距离头球破门。第25分钟，中国队获得角球机会，吴海燕在门前混战中，大力抽射，将比分改写为2∶0。　　仅1分钟后，王珊珊接姚凌薇的后场长传，在右路高速插上，长驱直入，单刀小角度劲射破门。　　第30分钟，王珊珊在禁区内接马君横传，小角度劲射，两度建功。4分钟后，李影前场断球，突入禁区，单刀破门，将比分改写为5∶0。　　下半时后半段，中国女足姑娘们体能有所下降。贾秀全对左后卫进行对位换人，去年世界杯上的主力后卫刘杉杉换下翟晴苇。　　随后，张琳艳换下姚凌薇，出任右前卫，张馨移到后腰位置，与马君搭档。另一名进攻型球员宋端接着替下李影，主攻左路。此后中国队依然场面占优，最终全取三分。　　本届预选赛共有7支参赛队。A组包括韩国、缅甸和越南女足。A、B两组前两名晋级附加赛。届时，每组头名将与另一组第二名交叉进行主客场比赛，获胜两队晋级东京奥运会。目前在A组中，韩国队两连胜领跑。 据新华社"
力拼澳大利亚争小组第一（图）,　　本报讯（记者  顾颖）北京时间昨天下午，2020年东京奥运会女足亚洲区预选赛第三阶段B组第二轮比赛，凭借上半时王珊珊的梅开二度和唐佳丽、李影、吴海燕各入一球，中国女足5:0大胜中国台北女足，提前一轮获得了进入附加赛、最后争夺奥运会入场券的资格。　　对于本场胜利，中国女足主教练贾秀全说，和第一场取胜泰国队一样，队员们依旧是凭借意志力和欲望赢得了胜利，小组出线为球队赢得了时间，赢得了调整的机会，这次中国女足遇到了主场易地等一系列困难，也得到了包括澳大利亚足协在内的多方帮助，后面球队会遇到更强的对手，大家肯定不会放弃任何争取胜利的机会。　　在稍后进行的同组另一场比赛中，澳大利亚女足6：0大胜泰国女足，两战过后，澳大利亚女足净胜13球，凭借净胜球优势排名小组第一，中国女足位列第二，接下来，2月13日，中国女足对阵澳大利亚女足，只有赢球才能以小组第一出线。两回合淘汰赛的赛程，中国女足如果能够获得小组第一名，3月6日先在主场迎战越南女足，3月11日做客越南。如果中国女足获得小组第二，3月6日先做客韩国，3月11日主场再战韩国女足。至于接下来淘汰赛中国女足的“主场问题”如何解决，中国足协已经准备了几套方案，其中也包括球队一直留在澳大利亚备战，“就把澳大利亚当作主场”。
女篮12强出炉 下月抽签分组,　　本报讯（记者  苏娅辉）2020年奥运会女篮资格赛第三阶段昨天落幕，包括中国女篮在内的10支球队成功晋级，将与日本队、美国队一起参加东京奥运会。在赛后评选出的B组球员最佳阵容中，中国队的李梦和韩旭携手入选，李梦还荣获了本组的MVP。　　随着第三轮比赛的结束，参加东京奥运会女篮比赛的队伍全部出炉，分别是：塞尔维亚、法国、西班牙、比利时、美国、加拿大、波多黎各、中国、日本、韩国、澳大利亚、尼日利亚。东京奥运会分组抽签仪式将于今年3月21日举行，12支球队将被分为3个小组，每组4队进行单循环赛，各小组的前两名以及两个成绩最好的小组第三名晋级第二阶段的比赛。　　赛后各组评选出该组的球员最佳阵容，中国队所在小组为：韩旭、李梦、法格本勒（英国）、托伦斯（西班牙）、朴惠珍（韩国）。其中，法格本勒以场均25分成为得分王，韩旭场均贡献13.3分和6.3个篮板。李梦场均出战24.8分钟，每场能够拿下16.3分、3个篮板和4次助攻，排在本组球员得分榜第3位，当选本组的MVP。法国队的桑德琳·格鲁达当选整个奥预赛的MVP。
准备工作稳步推进步入尾声,　　本报讯（记者  王梓）2020东京奥运会跨入倒计时200天，各项准备工作已是步入尾声，包括赛事筹备、圣火传递以及围绕奥运展开的各项保障工作均在稳步推进之中。　　过去一周，日本奥委会度过了一段繁忙期，针对新冠肺炎疫情，以及由此传出的奥运会停办传闻，相关部门连续两天召开紧急会议，在确定奥运会如期举办的同时，也提出了诸多针对新冠肺炎疫情的相关对策：包括日本政府与各国参赛队时时共享信息，了解相关参赛队员的身体情况。同时也会在东京都内设立严格的检查程序，以避免人员集中的环境下，可能出现的交叉感染与病毒蔓延。　　吸取2010温哥华冬奥流感暴发与2016里约奥运会黄热病流行的相关经验，日本奥委会有信心应对新冠肺炎疫情。各个比赛场馆均进入到“战备”状态。马拉松比赛因转战札幌进行，目前已开启了退票与改票程序。此外针对奥运期间的交通繁忙，东京都内各条线路电车将延长运行时间，交通部门也已出台了相关的交通管制方案，以满足各国观众的出行需要。　　目前尽快落定圣火传递的各项工作更为紧迫。出于人道主义，日本奥组委将东京奥运会火炬传递起点设在9年前遭遇核事故的福岛县，因此引来了外界担忧。近日，相关部门针对福岛县各大主干道路与主要建筑物进行了核辐射检测，得出的数字符合安全标准，很大程度上打消了人们心中的疑虑。目前，日本国内各都道府县正在确定最终的火炬传递者，除去知名运动员外，还将有一些政要人士与演艺明星参与其中。按计划，东京奥运会火炬传递将于3月26日开始，历时121天巡回47个都道府县，在7月24日的开幕式上点燃东京新国立竞技场的主火炬。
赢下去，不要停,"徐毅扯球
扯尽天下体育事，笑看人间球故事。徐毅扯球，听我来扯几句吧。
在女足迎战中国台北队之前，中国女篮开了个好头，她们拿到了东京奥运会的入场券——现在，中国女足要做的就是复制女篮的成功。
在去年年底的东亚杯上，杭州人吴海燕的一记头球破门，帮助中国女足1∶0战胜中国台北队。那场比赛中国女足并没有绝对优势，队长吴海燕的进球帮助中国女足惊险取得了3分。昨天的比赛中，吴海燕锦上添花，为中国女足打进了第二个进球。
两连胜让中国女足提前从小组出线。这是一次特殊的冲击之旅，预选赛前中国女足因为隔离9天没有触球，这反而更加激发了球员们对于胜利的渴望。在第一场比赛中，中国女足用6∶1的大胜回应了外界对于自己状态的质疑，两场比赛，中国女足一共打进了11个球。
赢球之后，主教练贾秀全一再提到的是“欲望”和“整体”，这也许不是实力最强的中国女足，也不是状态最好的中国女足，却是最渴望胜利的中国女足。
在隔离期间，吴海燕曾经说过：“要笑呀，打败一切困难的战士们！”
我们期待的就是：赢下去，不要停。"
中国女足两连胜晋级,  本报讯 （记者 刘真） 2月10日，在澳大利亚进行的2020东京奥运会女足亚洲区预选赛第三阶段B组结束了第二轮的争夺，中国女足在与中国台北女足的比赛中再掀进球狂潮，5比0大胜对手，从而以两连胜战绩提前小组出线。   本次奥运会女足亚洲区预选赛第三阶段B组赛事原定在中国南京举行，但受新冠肺炎疫情影响，亚足联临时将比赛地改为了澳大利亚悉尼。尽管中国队锋线核心王霜因为身在武汉无法随队参赛，但在首轮比赛中，中国队仍以6比1大胜泰国女足，取得奥运会预选赛开门红。昨天下午的第二轮对阵中国台北队，中国队采用了与第一轮一致的先发阵容。比赛的5个进球全部出现在上半场，第5分钟唐佳丽率先破门，然后从24分钟到第34分钟，中国女足在10分钟里由吴海燕、王珊珊、李影轮番打入4球，从而以5比0锁定比分。  根据赛制，2020年东京奥运会女足亚洲区预选赛第三阶段共8支球队参加，8支队伍分为两组，小组前两名进入今年3月进行的最后阶段交叉淘汰赛，获胜的两支球队将与东道主日本女足一道参加东京奥运会。  对于中国女足本次预选赛来说，小组出线是必须完成的目标，因此两连胜早早锁定晋级，可以全力在2月13日的最后一轮与澳大利亚女足争夺小组第一。对中国女足而言较为不利的是，此前有10天隔离时间没有系统训练，此外澳大利亚队又是主场作战。而A组在朝鲜女足退出后，只剩下韩国、越南、缅甸三支队伍，韩国队已经轻取小组头名。由于澳大利亚队也取得了两连胜并且净胜球为13个，比中国队多3个净胜球。因此最后一轮中国队必须战胜澳大利亚队，才能以小组第一身份出线，夺得奥运会资格就会十分容易。而若平或者输给澳大利亚队的话，中国队将与韩国队交锋，晋级决赛圈的难度无疑会更大。
中国女足提前闯入附加赛,　　本报讯（海河传媒体育中心记者申炜）昨天在悉尼进行的2020年东京奥运会女足预选赛亚洲区B组次轮比赛中，中国队以5比0大胜中国台北队，提前一轮出线。不过想要获得小组头名，中国队必须在最后一轮比赛中战胜东道主澳大利亚队才行。　　这场比赛，中国队依然延续了之前大胜泰国队的首发阵容。开场仅仅4分钟，唐佳丽头球首开纪录，中国队开局相当顺利。第23分钟吴海燕转身抽射得手扩大比分优势。随后的比赛中，王珊珊梅开二度，李影也有球进账，上半场结束时中国队已经以5比0领先对手。下半时，中国队有意识通过换人保存实力，对手也加强了防守。最终，中国队5比0取胜。　　同组另外一场比赛中，澳大利亚队以6比0大胜泰国队，凭借净胜球优势暂列小组头名。2月13日，中澳两队交锋，中国队只有取胜才能拿到小组第一名，否则只能在附加赛中对阵另外一个小组的第一名韩国队。能否拿到B组第一名，不仅关系到下一阶段附加赛对手的选择，也关系到中国队附加赛的主场安排。　　2020年东京奥运会女足预选赛亚洲区下一阶段附加赛安排在3月6日和3月11日进行，考虑到目前国内还无法进行比赛，中国队目前已经做好了下一阶段的应对预案。　　上图  中国队球员庆祝进球。　　新华社发
李梦韩旭入选B组最佳阵容,　　本报讯（海河传媒体育中心记者李蓓）北京时间昨天凌晨，2020年东京奥运会女篮资格赛第三阶段比赛全部结束，包括中国队在内的10支队伍成功跻身东京奥运会。在赛后评选出的塞尔维亚贝尔格莱德赛区B组最佳阵容中，中国队的李梦和韩旭（上图）双双入选，李梦同时荣膺B组MVP（最有价值球员）。　　参加今年东京奥运会女篮比赛的12支队伍分别是：欧洲的塞尔维亚队、法国队、西班牙队、比利时队，美洲的美国队、加拿大队、波多黎各队，亚洲的中国队、日本队、韩国队，大洋洲的澳大利亚队，非洲的尼日利亚队。　　国际篮联赛后评选出四个小组的最佳阵容，其中入选塞尔维亚贝尔格莱德赛区B组最佳阵容的球员分别为：内线韩旭（中国）、法格本（英国），前锋托伦斯（西班牙），后卫李梦（中国）、朴惠珍（韩国）。其中法格本以场均25分成为得分王，韩旭场均贡献13.3分和6.3个篮板球。同时，李梦还荣膺B组的MVP，她场均出战24.8分钟，贡献16.3分、3个篮板球和4次助攻，是中国队取得3战全胜最重要的功臣。　　东京奥运会女篮比赛的分组抽签仪式将于今年3月21日举行。
传递勇气，打赢战“疫”,"2月8日，中国队球员韩旭在比赛中上篮。当日，在塞尔维亚首都贝尔格莱德举行的东京奥运会女篮资格赛第三阶段比赛中，中国队以64比62战胜西班牙队，取得两连胜，提前锁定东京奥运会入场券。              新华社发
赵紫名
当前，全国上下都处于抗击新冠肺炎的战“疫”之中，无数医务工作者和相关领域的专业人士奋战在一线，普通老百姓也响应号召尽量不出门。而看上去与疫情防控不太相关的中国体育圈，也在不断传递着正能量，他们在自己的战役上频繁取得捷报，为当前的战“疫”增添勇气。
9日晚，中国女篮100比60大胜韩国女篮，以3连胜小组第一的表现直通东京奥运。比胜利更让人欣喜的是，女篮的姑娘们在这三场比赛中打出了精气神，元宵节当晚以弱胜强击败世界第三、里约奥运会亚军、欧锦赛冠军西班牙队，相当振奋人心。要知道，中国女篮可是在丢掉了主场优势以及训练计划大幅度调整下取得的这个成绩，这更体现了中国女篮超强的凝聚力和战斗精神。
晋级之后，女篮赛前更衣室鼓劲的一段视频“爆红”于网络，心理教练黄菁激励队员：“当需要一个人站出来时，那叫勇敢；当一个团队需要挺身而出时，那叫担当；当一个国家身处逆境呼唤一种精神时，那就是使命，就是信念，就是一往无前！今天不仅仅是一场比赛，这是一场跨越时空的能量传递，我们要打出中国女篮的精气神，敢打硬仗，遇强则更强。”
“球场如战场，上场就得拼和抢。”随后助理教练贾楠喊道。
“拼是什么？”“防守！”
“抢是什么？”“篮板！”
“我们是谁？”“中国女篮！”
“为了谁？”“祖国！”
“战斗！”“战斗！”
这段超燃的视频还登上了《新闻联播》，中国女篮在国家和人民遭遇困难之际，用精彩的表现传递了巨大的勇气与能量。
同样受疫情影响而失去主场之利的还有中国女足，抵达最终比赛地澳大利亚后要接受一周的隔离，没法训练的姑娘们就在宾馆跑楼梯、楼道练力量。尽管只有一天的时间进行赛前训练，但姑娘们还是以6比1、5比0连续大胜泰国队和中国台北队，提前一轮小组出线，距离进军东京奥运，还差两场附加赛。
同在元宵夜，花滑名将隋文静/韩聪在韩国首尔第六次夺得四大洲花样滑冰锦标赛双人滑冠军。两人赛后带动现场观众一起喊“武汉加油！中国加油！”，体现了中国花样滑冰队心系祖国、奋勇拼搏、危难时刻显身手的担当。
在全国对抗新冠肺炎的战“疫”中，中国体育人没有缺席，在为国而战精神的感召下，他们在自己的战场上不断传递着勇气、斗志和信心。其实，相信不止是体育圈，社会各界、各行各业，都在用自己的方式为中国加油，为疫情防控工作助力。
“我们始终坚信，有一种信念叫作永不放弃，有一种精神叫做中国必胜。武汉加油！中国加油！”击败西班牙队后，女篮全体成员手持五星红旗与东京奥运入场券，为正与疫情抗争的人们加油打气。
她们齐声高喊：“在这个战场上，我们赢了。相信在另一个战场上，我们也一定能够赢！”"
﻿中国女篮东奥目标进前八,"图：中国女篮的黄思静（上左）与队友李梦庆祝胜利\新华社
【大公报讯】综合新华社报道：在9日举行的东京奥运会资格赛贝尔格莱德赛区B组最后一场比赛中，中国女篮以100：60战胜老对手韩国队，以三战全胜战绩进军东京奥运会。中国队主教练许利民赛后说，中国队不仅战胜了韩国队，更是战胜了自己，东京奥运会目标是争取进入前八名。
东京奥运会女篮比赛的12支球队为︰澳洲、比利时、加拿大、中国、法国、日本、韩国、尼日利亚、波多黎各、塞尔维亚、西班牙和美国队。奥运女篮比赛时间为7月27日至8月9日。抽籤仪式将於3月21日举行，12支球队被分成三个小组，各小组前两名以及成绩较好的两支小组第三名球队晋级八强。"
﻿中国女足提前晋东奥附加赛/大公报记者张 锐,"图：中国女足的王珊珊（中）今仗梅开二度\新华社
中国女足昨天在东京奥运会女足预选赛亚洲区B组赛事中，以5：0大胜中国台北迎来两连胜，提前一轮确保小组出线晋级附加赛。她们后天将与澳洲队进行本组最后一场较量，争夺小组头名。中国女足前锋王珊珊今仗梅开二度，唐佳丽、吴海燕、李影各建一功，主帅贾秀全指出球队今仗下半场体能下降，期望球队能在对澳洲队前及时调整好，以争取最好的结果（小组首名）。
中国女足主帅贾秀全此役延续了首场6：1大胜泰国队时的“4-4-2”首发阵营，门将彭诗梦，队长吴海燕与林宇萍搭档中卫，罗桂平和翟晴苇镇守两翼，马君和姚淩薇担任防守中场，张馨和李影打翼锋，王珊珊与唐佳丽搭档锋线。
5：0大胜中国台北
开场仅4分鐘，中国队便先开纪录，罗桂平右路底线传中，唐佳丽门前近距离头槌破门成1：0。24分鐘，中国队获得角球机会，吴海燕在门前混战中大力抽射命中，将比分改写为2：0。仅2分鐘后，王珊珊接应姚淩薇的后场长传，在右路高速插上，长驱直入，单刀窄角度射入，中国女足很快便领先到3：0。29分鐘，王珊珊在禁区内接马君横传后，小禁区内右辅位窄角度劲射入网梅开二度。4分鐘后，李影突入禁区单刀，以左脚射门得手，中国女足完上半场便以5：0遥遥领先。
下半时后半段，中国女足球员体能有所下降，但依然场面佔优，最终轻鬆全取三分。
赛后，贾秀全表示，对球队上半场表现感到满意，但认为下半场球队体能出现了一些问题，希望下仗对澳洲队能争取到好的结果。贾秀全说：“我们的体能状态不是很好，但是球员的精神状态和慾望都很好。看起来进的几个球很容易，但真的不是很容易的，最重要的是能够先从小组出线，为我们自己赢得调整时间。下一场对澳洲，我们还是会派出最有经验的队员，争取最好的结果。”两连胜后，中国队在B组以6分居次席，已锁定附加赛资格。澳洲女足在昨天进行的赛事以6：0大破泰国女足，於B组居榜首。中国女足在周四（13日）下午将与澳洲队进行本组最后一场较量，以争夺小组首名。中国女足要击败澳洲，才能取得小组首名资格。
本届亚洲区预选赛共有7支参赛队。A组包括韩国、缅甸和越南女足。A、B两组前两名晋级附加赛。届时，每组头名将与另一组第二名交叉进行主客场比赛，获胜两队晋级东京奥运会。A组韩国队两连胜首名晋级，越南则以2战得3分、小组次名晋级。"
泰山体育产业集团：一份“奥运订单”，两份“责任答卷”,　　□满芳芳　　　　２月７日下午，看着首批两辆装满拳击台、训练台等拳击比赛器材的货车缓缓驶出公司，开往北京国际机场，然后空运到约旦首都安曼，泰山体育产业集团董事长卞志良心里的一块大石头终于落了地。　　此前的１０天里，突如其来的新型冠状病毒肺炎疫情，让２０２０东京奥运会中国唯一器材供应商和服务商——泰山体育产业集团，面对了一场“遭遇战”。在这场“遭遇战”里，泰山体育人对一份“奥运订单”，交上了两份“责任答卷”。　　　　“遭遇战”：　　赛前一周，比赛突然移师海外　　岁末年初武汉疫情发生时，泰山体育团队正在当地筹备２０２０东京奥运会拳击比赛系列资格赛亚洲＆大洋洲站的比赛，这也是泰山体育承担的２０２０东京奥运会系列比赛服务的第一站。　　根据国际奥委会的安排，本站比赛原定于２月３日举行。但严峻的疫情防控形势，让比赛的安排不得不发生变化。　　北京时间１月２５日，国际奥委会发布公告：鉴于武汉防疫需要，经各方协商，将此次赛事改交由约旦奥委会承办，新的承办地为约旦首都安曼。此时，距离原定的比赛时间，仅仅一周有余。泰山体育为比赛准备的全部器材和装备，早已运至武汉并进行了初步的装备调试。　　这一天是农历大年初一。作为服务过千余次国际国内大赛的世界知名体育品牌、全球顶级赛事服务商的企业负责人，卞志良深知国际奥委会的这一决定，对企业意味着怎样的挑战。也深知自己的应对表现，不仅关系到企业的信誉，更关系到国家的荣誉！　　“疫情就是命令，防控就是责任。因为疫情防控的需要，我们的器材既然无法从武汉进行转运，我们就重新生产全部的器材和装备！”和同事们戴着口罩坐到会议桌前的卞志良说，“疫情发生后，国际柔联主席维泽、国际奥委会拳击项目负责人渡边守成先生，都对我们表示关心和慰问。越是这种时候，我们越要以自身的优势，在国际上展示中国制造的实力和水平！”　　　　“拼上去”：　　科学防疫，提前复工　　按照国际奥委会的最新安排，移师约旦首都安曼的拳击比赛，将于３月３日正式开赛，２月２９日开始训练赛。根据这一时间安排，卞志良和高管们掐着指头算：器材要重新生产，至少要１０天的时间；多达５０余人的服务团队，飞赴当地后需要先进行为期１４天的隔离观察……而此时，企业又处于春节假期和延迟复工阶段。　　按照国家和省、市疫情防控部署，泰山体育产业集团原计划春节后延迟复工，疫情防控形势严峻，但又必须保障奥运会有关比赛正常进行，维护国家荣誉和企业品牌信誉。怎么办？公司经过周密研究并向当地党委政府汇报后决定：为了国家荣誉也要拼，那就是“科学防疫，提前复工”。　　为确保公司科学安全有序复工，乐陵市党政有关领导和工信、卫健等部门与企业一起，研究制订了周密的疫情防控方案和生产流程，紧急集合抽调本地职工，分工序错时加班生产，对各道工序所需的人员及人数严格限定，强化防疫，做到各工序之间卡住节点，压茬进行，最大限度减少人员聚集，在保证生产效率的同时，确保职工防护安全。　　“由于约旦订单紧急，我们１月２９日就复工了，所有人员戴口罩上班，公司每天派专人对厂区、车间及餐厅、宿舍等公共场所进行全面消毒，上岗人员每天两次测量体温，大家错时就餐，并单人单桌，避免聚集。”公司缝纫班组长田伶霞说。　　经过工人连续１０天的昼夜加班，２月７日下午，第一批器材终于装车运出。此后，其余产品也将陆续发出，确保奥运会拳击测试赛如期举行。　　　　“赢下来”：　　国内唯一入选品牌，代表中国竞技世界　　“奥运订单”，得来不易。　　根据国际奥委会的安排，将于７月２４日开幕的东京奥运会，拳击比赛除了奥运正赛之外，还包括奥运会测试赛以及亚洲＆大洋洲、非洲、欧洲、美洲等５站资格赛。首战资格赛原定于２月３日至１４日在我国武汉洪山体育馆举行。其后将分别转战非洲塞内加尔的达喀尔、英国伦敦和阿根廷布宜诺斯艾利斯，最后一站比赛将于５月１３日至２４日在法国巴黎举行，争夺东京奥运会的入场券。　　２０１９年，国际奥委会向全世界国际拳联认证厂家进行公开招标，确定２０２０年奥运会拳击比赛、测试赛及资格赛的器材供应商和服务商。经过多轮评选，国际奥委会确定泰山体育为奥运会拳击项目赛事供应商与服务商。　　泰山体育产业集团也是我国唯一入选的企业。国际奥委会认为，只有泰山的实力、泰山的品牌和大赛经验，才能在节奏如此快速的情况下完成器材供应和服务。在本届奥运会上，泰山体育作为国内唯一赛事服务商还将提供其他多个高科技复合材料项目器材。　　“根据我们的测算，仅重复生产、器材运输和人员服务等方面，此次变化给企业直接增加成本开支达到数千万元。”卞志良说，“在这种情况下，宁可承担损失，也不能让品牌受损。在国际舞台上，品牌不只是泰山的品牌，更是国家的品牌。”　　眼下，由５０余位专业人员构成的泰山服务团队正在集结准备出发。在接下来为期数月的时间里，他们将一路奔波赶赴五大洲的不同赛场，向来自世界各地的拳击运动员展示中国品牌的服务能力和水平。　　　　“责任心”：　　顾好“小家”是本分　　维护“大家”是责任　　随着这笔订单的完成，泰山体育产业集团在扎实做好疫情防控的同时，也在为２月１０日的全面有序复工做着各项准备。　　“市委、市政府及时发布实施了‘惠企十二条’给我们吃下一颗定心丸，市领导还深入企业实地查看疫情防控措施落实和复工生产需求，提出在材料运输、资金筹集、人员防控、专班帮扶等方面全方位做好保障服务，让我们有信心做到一手抓好疫情防控，一手抓好企业生产。”泰山体育产业集团副总裁卞笑男表示。　　一份“奥运订单”，两份“责任答卷”。卞志良说，体育无国界，人类的情感息息相通。“构建人类命运共同体”是我们对美好世界的向往和追求，也是中国对世界的责任。疫情不仅影响中国，更影响全球，需要全世界人民共同面对。置身其中，泰山人义无反顾。　　他说，在国家荣誉和民族品牌面前，在抗击疫情的社会责任面前，泰山体育产业集团承担一些损失不算什么。　　“奥运全球瞩目，抗疫同舟共济。作为东京奥运会中国唯一赛事服务商，泰山体育要向世人展示中国智造的能力与担当！”卞志良说，这就是泰山体育产业集团的“精气神”。　　“顾好‘小家’是本分，维护‘大家’是责任。”卞志良和他带领的泰山体育产业集团是这么说的，也是这么做的。　　工人们在做好防疫的前提下，提前复工加紧生产
